Text,Label
Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly #SemST,FAVOR
Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n; #SemST,FAVOR
"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots. #SemST",AGAINST
"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men. #SemST",AGAINST
YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist #SemST,FAVOR
Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism #SemST,FAVOR
Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48 #SemST,FAVOR
So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay #SemST,FAVOR
These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty. #SemST,FAVOR
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues #SemST,FAVOR
links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality #SemST,FAVOR
RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive #SemST,NONE
tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview #SemST,FAVOR
"If you're a feminist AND you hate men, please kill yourself. #SemST",AGAINST
"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay #SemST",AGAINST
@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it. #SemST,FAVOR
"MRAs just tried to ""enlighten"" me, which went about as well as the flight of the Hindenburg. #SemST",FAVOR
Why do girls/women spend so much time to be pretty and attractive and then complain if they're reduced to a sex symbol? #SemST,AGAINST
@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist #SemST,FAVOR
"Job should always go to best candidate, regardless of gender. Gender shouldn't even matter anymore, it's 2015! #PaulHenry #SemST",FAVOR
"What do you say to a woman with two black eyes?  Nothing, she's already been told twice.   #SemST",AGAINST
Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender #SemST,FAVOR
the time for gender equality is NOW! #SemST,FAVOR
"As Chip Kidd announces the readers & asks us to hold their applause, the audience cant hold it back for @GloriaSteinem #poetry #SemST",NONE
Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @amazingatheist #SemST,AGAINST
You know you're in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality #SemST,FAVOR
When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary #SemST,FAVOR
I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women's soccer #USWNT #SemST,FAVOR
"Men don't have a right to talk over you, you're voice is important, you are a goddess and don't deserve to be silenced #SemST",FAVOR
FINALLY A WOMEN RUNNING FOR PRESIDENT #SemST,FAVOR
"Pissed that I got ""talked to"" but he didn't  #SemST",FAVOR
"@SirWilliamValen insulting, thinking you can make a switch like that. if it wasn't written for us, it wasn't for us #SemST",NONE
"@Yaahnemba Have you ever thought that maybe ""blue jeans"" hates you? Not everyone in the world is made for each other. #SemST",NONE
I believe that every women should have their own rights!! #SemST,FAVOR
@TheRuIes @xDirtyDianna why not she's clearly a part of the squad females can't be with guys without being looked at as a hoe #SemST,FAVOR
It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT . #SemST,FAVOR
I am obsessed with becoming a woman comfortable in her skin.  Sandra Cisneros #latinx #woc #SemST,FAVOR
I just yelled at my boyfriend for trying to let me win for Mortal Kombat X. #SemST,FAVOR
"Extinction of insects,dangerous herbs,gigolo services,religious fanaticism,fake BEERcans-Y Malaysia Radio&media FAIL2discuss? #SemST",NONE
RT @WGSndsu: Let's demand less cat-calling and more cats! #ndsufeminist #Feminist #cats #DogsCanComeToo #SemST,FAVOR
Anyone find it funny that #Feminists use #TakeitLikeAMan when they don't want to understand what it means to be one?  #SemST,AGAINST
.@MyRainbowNinja @NotAllBhas This farm is fucking disgusting. #SemST,NONE
RT @rossansguil: Nothing like dudes joking about molesting me right to my face... #SemST,FAVOR
All I'm doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged.  Time for bed. #FeminismIsAwfullyGreat #SemST,FAVOR
@FudgieeBuddiee ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE #SemST,FAVOR
"@DaniBChristen Yes,a ""greater"" understanding because ur's is ""superior"" 2 mine LOL #IDontNeedFeminism #SemST",AGAINST
WHO DO I GOTTA FUCK TO NEVER FEEL LIKE I GOTTA FUCK SOMEBODY? #SemST,NONE
"when they say men look at women like a piece of meat what do they even mean, they want to cook & eat her? #YesAllWomen #SemST",FAVOR
"Starting to compile evidence for blog post, how modern feminism shares the same traits as the Nazi propaganda #antifeminism #SemST",AGAINST
Why don't you love me Twitter #SemST,NONE
"I HOPE YOU GET RAPED is apparently how misogynists say ""How dare you not bend to my will?""  #YesAllWomen #SemST",FAVOR
How much radical feminist does there have to be before feminist start rethinking their position about feminism? #SemST,AGAINST
Honoured to be followed by the truly inspirational @Kon__K founder of @ASRC1 #realaustralianssaywelcome #thethingsthatmatter #SemST,NONE
Feminists don't even understand what feminism is. #SemST,AGAINST
Thanks to the work of people like @everydaysexism they are not only helping women but helping the whole of society #SemST,FAVOR
"If you wanna stay home and raise a family, that's cool. But that's your choice and nobody else's. #SemST",FAVOR
@suicidaljac3 eat a pus or somethin lozer #SemST,NONE
Women are superior to men in every aspect #feminist #SemST,FAVOR
@BruiseAurora i'm advocating men to stop loving women. Just have sex with them . #everydaysexism #SemST,AGAINST
I NEED FEMINISM BECAUSE- A man in a room full of women is ecstatic. A woman in a room full of men is terrified. #SemST,FAVOR
Why is Paul Elam not one of the most hated men alive right now!? #feminist #SemST,FAVOR
Yes women it's not fair that men staying at home is shamed by society. We must change ppl additudes  #everydaysexism #SemST,FAVOR
Watching #missrepresentation .. We must change our world. #womenrule #change #beauty #SemST,FAVOR
I won't complain about equal rep of girls in gaming. Princess Peach & Zelda are kick-ass women. Samus is a beast. Hello! #gaming #SemST,FAVOR
A woman is not a sex object. She's a person. #truth #wisdom #womensrights #media #life #humanity #love #society #SemST,FAVOR
Umrao Jaan Ada- a story of not just a life or prostitute but of poise and poesy.  #WOMANPOWER #SemST,FAVOR
Lol what's so ugly about wanting to be equal? #SemST,FAVOR
"You want to hear something really ugly, 1 in 5 women will be sexually assaulted in their time in college #MisogynyIsUgly #SemST",FAVOR
@amin86660132 @justsoshelby  Very nice work. I'm happy to hear your autistic friend is able to express himself this way #SemST,NONE
WTF LITEraL FUCK AM I EVAN SSEING THIS THING ABOUT. #SemST,NONE
Radios r filled with feminist and rape propaganda. Feminism is alive n well in Malaysia. Their rape guilt tactics won't silence me #SemST,AGAINST
"I take some solace in knowing that, at least, it means they don't know who that useless hack is... @thehiredmind  #SemST",NONE
No. Feminists are not ugly. The fact that there isn't equal rights for both men and women is. #FeministsAreBeautiful #SemST,FAVOR
"Meredith giving Don crap was great,but HOLY CRAP PEGGY. No spoilers, but DAMN was it a great scene. #Peggy #MadMen #SemST",NONE
so i guess the new definition of ugly is believing in equal rights... LET ME BE UGLY THEN #SemST,FAVOR
Strict gender roles in the context of a true marriage devoted to raising children will always be the ideal. No substitutes. #tcot #SemST,AGAINST
Ok armchair feminists got their panties wet. If you're a social justice warrior go out and do something. Get off tumblr.  #SemST,AGAINST
I can't believe some of the reasons people say they need feminism. I need my dog for half of the same reasons.  #antifeminist #SemST,AGAINST
"@StarSThomas Dear god, you are fat. #SemST",NONE
If feminists are ugly then what are the people calling them ugly must be vile #SemST,FAVOR
"Im sorry if you going to be with me and call me ""you women"" like im a cadigory ill probably but boot out the door #SemST",FAVOR
"Me (in jest): It's a man's world, y'know. Kaitlyn: I'll blow up the world then.  #SemST",FAVOR
.@Awyee707 I respect your truck-suck. Why do you not respect girls' innate or chosen doll-love? #SemST,FAVOR
@Awyee707 @TigerClaud You compared playing with dolls to a violent disposition. Two very different things. #GamerGate #SemST,NONE
"@optimist216 What a load of crap. Dressing appropriately for the office is ""sexist""? Grow up. #YesAllWomen #SemST",FAVOR
I'm not sure my schadenfreudes can stand this much tickling. @MT8_9 @prettysing  #SemST,NONE
.@diistantecho Your wee sister believes in both Santa Claus and feminism. Think harder about what that means. #SemST,AGAINST
@dancerlwt Have you considered changing your Twitter handle to vagina monologue? #SemST,AGAINST
Just give me the attention you never gave anyone else. #ExtremeRules #NepalEarthquake #FreddieGray #RHOAReunion #SemST,NONE
".@nycinterlude Don't worry, honey. Intelligence is a roadblock to full, unquestioning faith in feminism. Bleated be! #SemST",AGAINST
I am a feminist.I've been a female for a long time now.It'd be stupid not to be on my own side-Maya Angelou-#feminist #humanist #SemST,FAVOR
.@feminismvibes Men don't admit to being raped as readily as women do. So your question is feminist bullshit. #SemST,AGAINST
"@vote4pedro___ she lied you idiot, it's a fact & the reason that you won't acknowledge those facts is also the reason why #SemST",NONE
"@AnandDaranand am not stopping your FOE on ur own TL,if u notice;was encouraging u to post topics I'm interested in on my TL #VAW #SemST",NONE
Courting patriarchal approval condemns your sisters to abuse about their physical appearance #patriarchyisugly #SemST,FAVOR
@SkyNews  @EamonnHolmes @SkyJacquie guy from 'beach body ready' advert being interviewed.Conclusion=arrogant male chauvinist idiot #SemST,FAVOR
@rsiereilly I've been pretty well. Enjoyed your response to #SemST,NONE
"Contempo Qiwaamah:longer paid maternity leave,flexi working hours,on-site childcare,breastfeeding/breastpumping rooms,equal pay #SemST",FAVOR
@MrMikeCalta  Proud to say I don't listen to fat crossed eyed MJ #SemST,NONE
"The only reason, I stopped at each entrance in #walkingstreet is to have a #LawOfAttraction #viewpoint #dailydevotional #SemST",NONE
"@rimmedlarry Actually, the tag was made by feminists so they can narcissistically post selfies to prove they're not ugly. #SemST",AGAINST
I have noticed that you never see any really beautiful feminists. I wonder why? #SemST,AGAINST
@james_WTF don't be saying these inconvenient truths. It might hurt the narrative. #SemST,NONE
"@draumkunta also, sorry I'm too busy being a gorgeous feminist to give a shit about your beauty standards #SemST",FAVOR
@bethany_jayneW its cool I got the greenlight I'm back on ur side #SemST,NONE
"@_sarcasmspasm @MT8_9 Then there's the added level of irony: Their chosen figureheads: Not really ""body positive"" amirite? #SemST",AGAINST
Your physical appearance doesn't define your worth.People should be heard whether theyre conventionally attractive or not. #SemST,FAVOR
All the feminist block me because I speak true. #SemST,AGAINST
I'm going to walk you thru this @helen_a13 because I get feminists have NO idea what they are saying...  @BristolBen #SemST,AGAINST
@MsLuuna women don't need to shave. #SemST,FAVOR
The only thing ugly is the god damn opinions of the idiotic people who started this tag #SemST,NONE
"Wives who dislike cooking mk husbands diet, saying they'll stay fit Actually they want to avoid cooking ;) MCP #WomensProgress2015 #SemST",FAVOR
"These SJWs are so homogenous and blur together so well it's like dealing with one giant,rainbow-headed monster. #GamerGate #SemST",AGAINST
#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn't exist.  #SemST,AGAINST
Feminists are not ugly lol they do make me laugh though. They are the most hypocritical people on the planet #SemST,AGAINST
Wonder what it'd be like to wear a dress and NOT be sexually harassed for it.  #YesAllWomen #SemST,FAVOR
Lehi high school is my favorite school due to @cltnroberts ps yo gleaves hit me up  #MondayMotivation #WhatAreYouAfraidOf #SemST,NONE
"If you want to empower women, you need to disempower the warlords! Zahara Langhi from Libya #WILPF100 #wsw2015 #ikff #peace #war #SemST",FAVOR
hey @JCDFitness stop teiggering me with ur man gap on the bus i will fight the patriarchy until ur in jail. ty #Equality2015 #SemST,FAVOR
What is wrong with you people. Women with self respect should be coveted. Or have we been listening to too much Rush? #SemST,FAVOR
"Hey first-world country white women bitching about gender inequality, you're going to be fine #killallmen #SemST",AGAINST
"Hey, all you #prolife-ers, if Socrates was born mortal, and his mother thus doomed him to die, is she a murderer? #SemST",NONE
RT @WeNeedFeminism: I don't want to choose between having a family or having a career #SemST,FAVOR
@EmWallbank listen well I'm ready to tell about a need that I cannot deny #hsmsong  #SemST,NONE
@evelynlns @jes_chastain Agree 100 %! She radiates beauty from the inside out. Such a role model for all  #SemST,FAVOR
Anyone else starting to notice the general demographic of feminists is like fucking high-schoolers. #SemST,AGAINST
Sexism is power plus prejudice? So Anita is sexist by her own definition because of her new title in time #Anitasarkeesian #SemST,AGAINST
"Women are strong, women are smart, women are bold. #FeministsAreBeautifulisalovemovement #SemST",FAVOR
Want revenge for being a slut?  Cry rape.  Then lie to the world and carry a mattress with you.  #rape #UglyFeminist #SemST,AGAINST
people actually brag about how dank their shatter wax shit is on instagram pls kill me #lol #dabs #wax #420 #SemST,NONE
Gotta love the respect feminists give to those that don't wanna be a feminist (note the sarcasm) #IDontNeedFeminism #SemST,AGAINST
"@KrewellaJahan feminism does not equal woman's rights. Feminism is about vaulting one gender over another, NOT equality. #SemST",AGAINST
I guess wanting and trying to make this world a better place for everyone makes me ugly. #feminist #SemST,FAVOR
"Because heckling #YesAllWomen & screaming ""LOOK AT ME!"" all day is an excellent way to show us you are a serious individual  #SemST",AGAINST
feminist: *says something about women to be treated as equal human beings*  some asshole: you're ugly  wow nice okay lmao  #SemST,AGAINST
".@Rod_McCallum You're 55yrs out-of-date. I thought you could be more interesting, but you're just old news, bored now. Bye #SemST",NONE
@EverydaySexism .@Rod_McCallum you are a dinosaur and a fool.  Not rising to your antiquated rhetoric.  Bye #SemST,FAVOR
@foreigncorrespo I'm never bored. Ppl who easily get bored - like you profess to be - are generally boring. It's a weak wimp-out. #SemST,NONE
@foreigncorrespo And just because you can quote Simone doesn't mean you understand her. Modern femmie-nism is just whining. #SemST,AGAINST
The length of time I take in the bath directly relates to what's happening on Twitter #MondayMotivation  #Worlds2015 #SemST,NONE
All I need in this life of sin is me and my girlfriend #SemST,NONE
the fact that people think women need to be appealing and attractive to be heard/seen as equal is why we need feminism #SemST,FAVOR
They want equality but what they're doing is overpowering men. #feminazi #SemST,AGAINST
Saying #AllLivesMatter instead of #BlackLivesMatter is like saying equal rights for all instead of #SemST,NONE
I met my first radical feminist today. Holy shit. Amazing how much can go wrong in a brain #wtf #SemST,AGAINST
@thefemaleboook @MeninistTweet lmao at the fact you use a bunch of airbrushed fake ass celebrities  #SemST,AGAINST
".@cooImemegirl Feminists reject (or ignore the fight for) equality when it might hurt women. That's not equality, duh. #SemST",AGAINST
.@cooImemegirl Damn that wage gap! Sneaky men work longer hours in dangerous jobs and get paid for it! #SemST,AGAINST
".@cooImemegirl Feminists believe mothers should have a say over the father's body, his job, and his money. #SemST",AGAINST
you know what's ugly? can't going out with a short skirt without being judged #SemST,FAVOR
".@johnny_nimble @__heyheather @cooImemegirl ""Equality"": a term used by feminists to poorly hide supremacist agendas. #SemST",AGAINST
This feminist supports gender equality because some people believe a woman's value lies in her physical beauty. #SemST,FAVOR
"If you claim nor to be a feminist, you either don't understand what feminism is, or you are a huge societal problem. #SemST",FAVOR
Elizabeth Cady Stanton did not die so you could get upset about fuckbois that don't text back #SemST,FAVOR
@Piddy_X @Nero @CYBERSTALIN It's an attempt at a @GodfreyElfwick parody. #ProteinWorld #BaltimoreRiots #socialism #SemST,NONE
Women in Hollywood are still getting paid less. It is 2015. #SemST,FAVOR
"@mit5_anders To paraphrase Friedan, the more a drive is deprived of data, the more its data will expand to fill the space. #1960s #SemST",NONE
"watching #BaltimoreRiots on Fox news, obvious feminist and her goony beardman following the reporter around for attention #SemST",AGAINST
"I've removed the term #feminist from by bio because racist, transphobic, white feminists have fucked it up for everyone. #SemST",AGAINST
@beeeatles is this list for real? Please god it better be a joke. No man or woman should ever pay attention to this shit. #pissed #SemST,NONE
Now Harry is arguing with Dead Girl's father about whose job it is to kill the RapeMurdering villain. #Horns #SemST,NONE
@sammikluber I'm just stating the facts #SemST,NONE
How can you be female and not be a feminist? Like do you not care about your rights as a women or what? #SemST,FAVOR
I wonder what would happen if riots started breaking out across the globe because of how poorly women are treated by some men. #SemST,FAVOR
RT @WeNeedFeminism: 'BAD BITCH' is not a compliment #SemST,FAVOR
.@cooImemegirl @TC_Stompa Women don't understand men's plight and so shouldn't force men into fatherhood w/o consent. #SemST,AGAINST
.@cooImemegirl @TC_Stompa So what? It is a man's choice whether he wants to breast feed his children. #SemST,NONE
.@cooImemegirl @TC_Stompa You have no respect for real equality so you lie and claim feminists want it. #SemST,AGAINST
OH NO EQUALITY FOR ALL WHAT SHALL WE DO ?!?!? STOP FEMINIST ASAP #SemST,AGAINST
.@TheActualSarah The UK is considering abolishing prisons for women completely because crime is a man's fault. #SemST,AGAINST
@Vivvyyy what's so wrong with getting dick? How come when guys do it they're praised for it? YOU SEXIST #SemST,FAVOR
The moment you know you've won as a wife.  You put out and he gets up to make his own sandwich. #winning #yvrmoms #funny #joke #SemST,FAVOR
You don't have to be anti-men to be pro-women. ~ #SheQuotes #Quote #women #men #SemST,FAVOR
@JahMMARastafari @Vosnic you're incredibly bigoted. From rape to homosexuality.  #mensrights #SemST,AGAINST
"Full of #narcissism and self-loathing, a lot of women out there like that. Its got sod all to do with #WrightStuff #WolfWhistling #SemST",AGAINST
@Demias20  Misogynist Patriarchy rapist neckbeard Harasser evil mansplain manspread woman hater born a rapist Etc Etc Etc #SemST,FAVOR
".@brigadam @KlaraJoelsson Abortion is NOT suffering to women - why do you think it is? Do you hate abortion, feminist? #SemST",AGAINST
It is not a woman's place to be made to feel uncomfortable walking down the street. #PoppySmart #SemST,FAVOR
.@brigadam @KlaraJoelsson The child could be seized for adoption to prolife couples or raised by mom alone - no $$. #SemST,NONE
".@brigadam @KlaraJoelsson You just made the best case against feminist ""equality"" ever! Fuck feminism! #SemST",AGAINST
"So, I'm following @rgay's lead & embracing the term #badfeminist. I'm too far from perfect and still learning. #SemST",FAVOR
Just read a rather good article on females and their perceived/imposed limits throughout the education system and the work place #SemST,FAVOR
to the people (male and female- the females always upset me more) who told me I couldn't achieve or do what a boy/man can. #SemST,FAVOR
"Every time I was told I was bossy rather than assertive I took it as a compliment, #SemST",FAVOR
"The most upsetting of all of these however, was when I was greeted with shock and disgust for the fact I have ambition and #SemST",FAVOR
"wanted to pursue a career rather than settle down and start a family in my 20's. Even now, people still tell me time is ticking & #SemST",FAVOR
"This always infuriates me. If I was male would I be asked these questions? would I be stereotyped as a 'bitch', 'cold hearted' or #SemST",FAVOR
"I refuse to accept that there is a unbreakable glass ceiling, after all if you hit glass hard enough it will shatter #glassceiling #SemST",FAVOR
@carly_senatore Also im assuming you claim to be one...yet you just called me an idiot and you dont even know me. Nice. #SemST,NONE
"@VirginRadioTO @MauraGrierson how about ""Maura & Tucker in the morning"" #equality #seniority #SemST",FAVOR
I don't understand how the concept of a male being a feminist doesn't get in some peoples heads. Equality? Anyone? #feminist #SemST,FAVOR
@Mike_Charmander @MsLatina a right doesn't have to come from a law. They're called equal rights not equal laws #SemST,FAVOR
Today we watch the United States Supreme Court. #SemST,NONE
We live in a world where you're either a bitch or a doormat #SemST,FAVOR
"@jowilliams293 Feminists, go to the gym, lose some weight and stop to blame society for everything #SemST",AGAINST
@spectator exactly women are so weak and incapable the sight of one in a slim skin is giving them an attack of the vapours #SemST,AGAINST
"Men that want ""credit"" from women for being feminists are not feminists at all.  They're just men wanting more privileges #vaw #p2 #SemST",FAVOR
@oakleyftgaga you should be nice to me anyways #NicerInternet #SemST,NONE
We are actually watching a video on radical feminism in history this is the funniest movie ive ever seen #SemST,AGAINST
they opened a blenders in the vhs GIRLS bathroom today! #TheMoreYouKnow #SemST,NONE
Thought that goes through my mind on a regular basis: would you have said that to me if I was a man? #SemST,FAVOR
"When real life gets controversial, scroll social media faster. #BaltimoreRiots #NepalEarthquake #kyliejennerchallenge #SemST",NONE
People who call themselves beautiful are really the ugliest. #deep #edgy #Philosophy #BaltimoreRiots #Baltimore #SemST,NONE
"For Us, By Us: These Apps Are What Happens When Girls #HackForGirlsRights via @autostraddle #girlsintechht.../buff.ly/1HHhM18 #SemST",FAVOR
Hey guyz I'm talking about Baltimore *social issues* super smart super current events #SemST,NONE
Just been putting the finishing touches to a feminist-themed cryptic crossword... Standard. #crosswords #SemST,FAVOR
@MrRamsbottom @instruct @madebyreformat @studiodbd @luketonge I have to stop tweeting now cause @JoeWellMade wants his tea making. #SemST,NONE
@POWSIMIAN does a vegan diet make you immortal? either way we're all gonna die #SemST,NONE
"@moonsmuke Wow. A threat of violence from a feminist, when I've been nothing but polite. I might report this . . . #SemST",AGAINST
Walking through my neighborhood i saw 5 different fathers taking care of the toddler with no woman nearby  #househusband #SemST,FAVOR
@foxtrotjames I can kind of see myself doing what she's doing #Femalepower #yolo #SemST,FAVOR
@OliviaJeniferx it's not always the guys job. #equality #SemST,FAVOR
"Eating a bagel by myself rocking out to ""Man! I Feel Like a Woman!"" #ponytail #freedom #SemST",FAVOR
"Well maybe if more men learned to take ""no"" as an answer, women wouldn't have to say as much #fnm231 #SemST",FAVOR
#WeNeedFeminism because #YesAllWomen simply do not get the same level of respect that I get as a man. #HeForShe #SemST,FAVOR
#FSURHET protip. MAYBE familiarize yourself with recent trending topics....#Meninist #BlackLivesMatter #BaltimoreRiots #SemST,NONE
"@__florencesmith Not ""if"" - women do have equal rights & feminists have made women more equal than men. Go read ""Animal Farm #SemST",AGAINST
"Some guy just called me a gentleman for holding the door open for him. He then corrected himself & said ""I'm sorry, gentlewoman! #SemST",FAVOR
Excited to hear author @LeoraTanenbaum  Slut-Shaming in the Age ofthe Internet #slutshaming #SemST,FAVOR
"don't let anyone else's perception of you define you or your beliefs, and don't feel you have to justify your own worth #SemST",FAVOR
"U can be a #feminist w/o bein a bitch, u can also embrace ur sexuality w/o having loose morals #EmpowerAllBodies #empoweringwomen #SemST",FAVOR
It doesnt take a miracle all takes signature and a few kind people to know not to kill innocent a women #MaryJaneLives #SemST,FAVOR
I take it personally when people call my dog a he. Toni is a girls name too #SemST,FAVOR
