Label,Description
Cat,"It's clearly about a cat, but nothing extra"
Kitten,It's about a kitten
Wild cat,It's about a wild cat like a bobcat or tiger
Probably not a cat,This is probably not a cat but I'm not sure…
Probably a cat,This is most likely a cat but not specified
About a human,Dissapointing…
Cat-like but not a cat,It's about an animal acting like a cat
About a dog,"No cats here, specifically dogs"
About a cat but also other animals,A cat with friends that are not cats
About a non-cat or non-dog pet,
About a wild animal that's not a cat,
No clue,What is this post even about?